Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Benoît Badiashile,fr FRA,DF,24-245,3,1,111.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea
Roméo Lavia,be BEL,MF,21-324,4,1,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea
Facundo Buonanotte,ar ARG,MF,20-338,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.51,0.0,0.51,Matches,Chelsea
Tyrique George,eng ENG,FW,19-295,4,0,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.3,1.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,Chelsea
Filip Jørgensen,dk DEN,GK,23-224,1,0,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea
Landon Emenalo,eng ENG,MF,17-312,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Dario Essugo,pt POR,MF,20-257,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Gaga Slonina,us USA,GK,21-195,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Squad Total,,,24.5,12,132,1080.0,12.0,23.0,17.0,40.0,22.0,1.0,1.0,26.0,3.0,22.1,21.3,17.7,39.0,248.0,495.0,486.0,1.92,1.42,3.33,1.83,3.25,1.84,1.48,3.32,1.77,3.25,,Chelsea
Opponent Total,,,26.8,12,132,1080.0,12.0,11.0,10.0,21.0,11.0,0.0,0.0,28.0,1.0,13.9,13.9,11.5,25.4,162.0,364.0,356.0,0.92,0.83,1.75,0.92,1.75,1.15,0.96,2.11,1.15,2.11,,Chelsea
Erling Haaland,no NOR,FW,25-128,12,12,1034,11.5,14,1,15,14,0,1,0,0,12.6,11.8,1.2,13.0,24,8,37,1.22,0.09,1.31,1.22,1.31,1.10,0.10,1.20,1.03,1.13,Matches,Manchester City
Rúben Dias,pt POR,DF,28-196,12,11,996,11.1,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,9,37,0,0.09,0.00,0.09,0.09,0.09,0.02,0.01,0.03,0.02,0.03,Matches,Manchester City
Gianluigi Donnarumma,it ITA,GK,26-274,9,9,810,9.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Manchester City
Phil Foden,eng ENG,MF,25-182,10,9,798,8.9,1,1,2,1,0,0,3,0,1.8,1.8,1.4,3.1,14,42,42,0.11,0.11,0.23,0.11,0.23,0.20,0.15,0.35,0.20,0.35,Matches,Manchester City
Tijjani Reijnders,nl NED,MF,27-120,11,9,772,8.6,1,2,3,1,0,0,2,0,1.5,1.5,1.4,2.9,24,41,29,0.12,0.23,0.35,0.12,0.35,0.18,0.16,0.34,0.18,0.34,Matches,Manchester City
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,Manchester City
Matheus Nunes,pt POR,DF,27-091,10,8,784,8.7,1,1,2,1,0,0,1,0,0.2,0.2,0.3,0.5,19,40,28,0.11,0.11,0.23,0.11,0.23,0.03,0.03,0.06,0.03,0.06,Matches,Manchester City
Nico O’Reilly,eng ENG,DF,20-250,11,8,776,8.6,1,2,3,1,0,0,2,0,1.0,1.0,1.4,2.4,28,17,45,0.12,0.23,0.35,0.12,0.35,0.12,0.16,0.28,0.12,0.28,Matches,Manchester City
Bernardo Silva,pt POR,MF,31-108,12,8,720,8.0,0,2,2,0,0,0,3,0,0.1,0.1,2.0,2.1,12,32,32,0.00,0.25,0.25,0.00,0.25,0.01,0.25,0.26,0.01,0.26,Matches,Manchester City
