Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPtrs,DiffFormPts
06/09/00,Liverpool,Aston Villa,3,1,H,4,2,5,4,1.0,0.5, ,D,L,M,M, ,L,D,M,M,4.0, DLMM, LDMM,1,1,0,0,0,0,0,0,0,0,-0.25,-0.5,0.5,0,0.0
09/09/00,Bradford,Arsenal,1,1,NH,2,7,1,4,1.0,1.5, ,D,W,M,M, ,W,W,M,M,4.0, DWMM, WWMM,4,6,0,0,0,0,0,0,0,0,0.25,0.75,-0.5,-2,-0.5
09/09/00,Coventry,Leeds,0,0,NH,5,5,7,3,1.2,1.4, ,L,W,W,M, ,D,L,W,M,5.0, LWWM, DLWM,6,4,0,0,0,0,0,0,0,0,-0.4,0.4,-0.2,2,0.4
09/09/00,Ipswich,Aston Villa,1,2,NH,4,4,6,5,0.8,1.0, ,L,W,D,M, ,W,L,D,M,5.0, LWDM, WLDM,4,4,0,0,0,0,0,0,0,0,-0.4,-0.2,-0.2,0,0.0
09/09/00,Leicester,Southampton,1,0,H,3,7,1,8,1.6,0.6, ,W,D,W,M, ,D,D,L,M,5.0, WDWM, DDLM,7,2,0,0,0,0,0,0,0,0,0.4,-0.2,1.0,5,1.0
09/09/00,Liverpool,Man City,3,2,H,7,7,6,9,1.4,1.2, ,W,D,L,M, ,W,L,W,M,5.0, WDLM, WLWM,4,6,0,0,0,0,0,0,0,0,0.2,-0.4,0.2,-2,-0.4
09/09/00,Man United,Sunderland,3,0,H,11,4,3,6,1.6,0.8, ,W,D,D,M, ,D,L,L,M,5.0, WDDM, DLLM,5,1,0,0,0,0,0,0,0,0,1.6,-0.4,0.8,4,0.8
09/09/00,Middlesbrough,Everton,1,2,NH,8,7,7,7,1.0,0.8, ,D,L,D,M, ,L,D,W,M,5.0, DLDM, LDWM,2,4,0,0,0,0,0,0,0,0,0.2,0.0,0.2,-2,-0.4
09/09/00,Newcastle,Chelsea,0,0,NH,7,7,4,7,1.8,1.0, ,W,W,W,M, ,D,D,L,M,5.0, WWWM, DDLM,9,2,0,0,0,0,0,0,0,0,0.6,0.0,0.8,7,1.4
10/09/00,Derby,Charlton,2,2,NH,9,8,10,9,0.6,0.8, ,D,D,L,M, ,D,L,L,M,5.0, DDLM, DLLM,2,1,0,0,0,0,0,0,0,0,-0.2,-0.2,-0.2,1,0.2
11/09/00,Tottenham,West Ham,1,0,H,7,5,6,8,1.4,0.4, ,W,L,D,M, ,D,D,L,M,5.0, WLDM, DDLM,4,2,0,0,0,0,0,0,0,0,0.2,-0.6,1.0,2,0.4
16/09/00,Arsenal,Coventry,2,1,H,9,5,6,7,1.4,1.2, ,D,W,W,M, ,L,W,W,M,5.0, DWWM, LWWM,7,6,0,0,0,0,0,0,0,0,0.6,-0.4,0.2,1,0.2
16/09/00,Aston Villa,Bradford,2,0,H,6,3,5,8,1.3333333333333333,0.8333333333333334, ,W,W,L,D, ,D,L,D,W,6.0, WWLD, DLDW,7,5,0,0,0,0,0,0,0,0,0.16666666666666666,-0.8333333333333334,0.5,2,0.3333333333333333
16/09/00,Charlton,Tottenham,1,0,H,10,8,11,6,0.8333333333333334,1.6666666666666667, ,D,D,L,L, ,W,W,L,D,6.0, DDLL, WWLD,2,7,0,0,0,0,0,0,0,0,-0.16666666666666666,0.3333333333333333,-0.8333333333333334,-5,-0.8333333333333334
16/09/00,Everton,Man United,1,3,NH,9,14,8,3,1.1666666666666667,1.8333333333333333, ,W,L,D,W, ,W,W,D,D,6.0, WLDW, WWDD,7,8,0,0,0,0,0,0,0,0,0.16666666666666666,1.8333333333333333,-0.6666666666666666,-1,-0.16666666666666666
16/09/00,Leeds,Ipswich,1,2,NH,6,5,5,8,1.1666666666666667,0.6666666666666666, ,L,D,L,W, ,L,L,W,D,6.0, LDLW, LLWD,4,4,0,0,0,0,0,0,0,0,0.16666666666666666,-0.5,0.5,0,0.0
16/09/00,Southampton,Newcastle,2,0,H,7,7,9,4,0.5,1.6666666666666667, ,L,D,D,L, ,D,W,W,W,6.0, LDDL, DWWW,2,10,0,0,0,0,1,0,0,0,-0.3333333333333333,0.5,-1.1666666666666667,-8,-1.3333333333333333
16/09/00,Sunderland,Derby,2,1,H,4,11,9,12,0.6666666666666666,0.6666666666666666, ,L,D,L,L, ,D,D,D,L,6.0, LDLL, DDDL,1,3,0,0,0,0,0,0,0,0,-0.8333333333333334,-0.16666666666666666,0.0,-2,-0.3333333333333333
17/09/00,Chelsea,Leicester,0,2,NH,7,4,7,1,1.0,1.8333333333333333, ,D,D,D,L, ,W,W,D,W,6.0, DDDL, WWDW,3,10,0,0,0,0,0,0,0,0,0.0,0.5,-0.8333333333333334,-7,-1.1666666666666667
17/09/00,Man City,Middlesbrough,1,1,NH,9,9,12,9,1.0,0.8333333333333334, ,L,W,L,W, ,L,D,L,D,6.0, LWLW, LDLD,6,2,0,0,0,0,0,0,0,0,-0.5,0.0,0.16666666666666666,4,0.6666666666666666
17/09/00,West Ham,Liverpool,1,1,NH,5,10,9,8,0.3333333333333333,1.6666666666666667, ,L,D,D,L, ,W,W,D,L,6.0, LDDL, WWDL,2,7,0,0,0,0,0,0,0,0,-0.6666666666666666,0.3333333333333333,-1.3333333333333333,-5,-0.8333333333333334
23/09/00,Bradford,Southampton,0,1,NH,3,7,8,9,0.8333333333333334,0.5, ,D,L,D,W, ,L,D,D,L,6.0, DLDW, LDDL,5,2,0,0,0,0,0,0,0,0,-0.8333333333333334,-0.3333333333333333,0.3333333333333333,3,0.5
23/09/00,Coventry,West Ham,0,3,NH,6,6,9,10,1.0,0.42857142857142855, ,L,D,L,W, ,D,L,D,D,7.0, LDLW, DLDD,4,3,0,0,0,0,0,0,0,0,-0.42857142857142855,-0.5714285714285714,0.5714285714285714,1,0.14285714285714285
23/09/00,Derby,Leeds,1,1,NH,12,7,14,6,0.5714285714285714,1.1428571428571428, ,L,D,D,D, ,D,L,D,L,7.0, LDDD, DLDL,3,2,0,0,0,0,0,0,0,0,-0.2857142857142857,0.14285714285714285,-0.5714285714285714,1,0.14285714285714285
23/09/00,Ipswich,Arsenal,1,1,NH,7,12,9,8,1.0,1.5714285714285714, ,W,L,L,W, ,W,D,D,W,7.0, WLLW, WDDW,6,8,0,0,0,0,0,0,0,0,-0.2857142857142857,0.5714285714285714,-0.5714285714285714,-2,-0.2857142857142857
